month,open,high,low,close,volume,unadjustedVolume,changePercent,vwap,changeOverTime,marketCap,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation,company_name,ticker,employee_category_label,layoff
2023-02,15.32,15.64,14.8001,15.51,368666,368700,1.24,15.23,0.0124,818002859.0,17.808333333333334,18.56793682418333,16.28897435897436,13.529346806013256,12.76691355135912,-81.66768853464131,87.92673098263249,20.327886785728744,3.520539336837784,PubMatic,PUBM,1.0,0
2023-03,13.58,14.6,13.52,14.02,1304104,1304100,3.24,14.06,0.0324,739419735.0,16.78333333333333,17.83748500507821,15.675384615384614,12.95598806584534,12.443777147931026,-89.8820608317815,83.35988654276416,19.931351228331028,2.6290978596384647,PubMatic,PUBM,1.0,0
2023-04,13.82,13.86,13.48,13.86,396639,396600,0.28944,13.73,0.0028944,721121940.0,16.040833333333335,17.194795004296946,15.194871794871796,12.520482978131138,12.262384050952694,-87.78054862842892,82.80788963662653,19.647849843729293,2.093639010325217,PubMatic,PUBM,1.0,0
2023-05,13.66,13.7648,13.51,13.62,237870,237700,-0.29283,13.62,-0.0029283,708634980.0,15.841666666666669,17.2494419267128,15.42705128205128,13.340494531232077,13.769719357276152,-50.96882898062343,85.37625253170879,19.89653161107757,1.8073453522285725,PubMatic,PUBM,1.0,0
2023-06,17.52,18.23,17.51,17.985,467013,467000,2.65,17.95,0.0265,935741565.0,16.04083333333333,17.40798932260314,15.802179487179489,14.23457393833435,15.220137416012516,-44.81887110362258,85.81022727588704,20.361258354339,1.9292721353459243,PubMatic,PUBM,1.0,0
2023-07,18.28,18.4,18.0,18.09,189924,189900,-1.04,18.14,-0.0104,934131420.0,16.324166666666667,17.805221734510347,16.40974358974359,15.456143834819777,16.987598495190568,-30.41280539174392,86.81045181895134,20.628487471942982,2.217282339311397,PubMatic,PUBM,1.0,0
2023-08,19.96,20.08,19.56,19.77,251347,251300,-0.9519,19.81,-0.009519,1020883260.0,15.851666666666665,17.204418390739527,16.036794871794875,14.70836503088758,15.879847431064784,-74.01197604790418,68.14745263783388,19.61721577652697,2.074812575203414,PubMatic,PUBM,1.0,0
2023-09,14.075,14.47,14.075,14.225,389619,389600,1.07,14.22,0.0107,734550550.0,15.474166666666669,16.419123253702676,15.459615384615386,13.64259760248908,14.396529233025303,-93.7720329024677,63.729760187144265,18.581681238997763,2.2988636987771924,PubMatic,PUBM,1.0,0
2023-10,12.04,12.1,11.685,11.76,343205,343200,-2.33,11.82,-0.0233,595749840.0,14.963333333333331,15.626950445440723,14.812820512820512,12.607282518192186,13.039488895077888,-98.43575418994416,61.71721194976284,17.519008220703977,2.4875032104948573,PubMatic,PUBM,1.0,0
2023-11,11.26,11.26,10.92,11.16,294475,294400,-0.8881,11.07,-0.008881,565354440.0,15.050000000000002,15.79357345383446,15.081538461538464,13.379458522495778,14.257562607168946,-36.79039301310041,68.76900029368495,17.5130676417035,2.528395406840736,PubMatic,PUBM,1.0,0
2023-12,16.69,17.2,16.6201,17.14,359152,359100,2.7,17.07,0.027,868295260.0,15.341666666666669,15.87302369170608,15.275384615384615,13.897538181849338,15.011697302442125,-41.15720524017468,67.7676914461645,17.641666413153313,2.453952027965412,PubMatic,PUBM,1.0,0
2024-01,16.2,16.22,15.91,16.02,311368,311368,-1.11,16.0875,-0.0111,801624780.0,15.329166666666666,15.766404662212835,15.25051282051282,14.004623898147464,15.12820101585714,-53.493449781659386,64.8573653191217,17.17327817204707,2.454361622137664,PubMatic,PUBM,1.0,0
2024-02,15.35,15.43,14.95,15.0,277152,277152,-2.28,15.1825,-0.0228,750585000.0,15.809166666666668,16.562342406487787,16.11371794871795,15.745090620511274,17.49502654772541,-8.157653528872567,71.63192954577079,17.89090186486833,2.900877621035093,PubMatic,PUBM,1.0,0
2024-03,21.53,21.59,20.55,21.07,745493,745493,-2.14,21.185,-0.0214,1054321730.0,16.634166666666665,17.663520497797357,17.330769230769228,17.903765833079177,20.27928610486358,-2.661596958174916,74.24591979829734,18.94328393175478,3.5524415508523464,PubMatic,PUBM,1.0,0
2024-04,23.75,24.17,23.52,23.74,338548,338548,-0.04210526,23.795,-0.0004210526,1187925860.0,17.365833333333338,18.398363498136224,18.22397435897436,19.22343824366142,21.728349513069546,-13.187641296156745,70.96155762701781,19.92947494435972,3.762491325202255,PubMatic,PUBM,1.0,0
2024-05,22.45,23.37,22.39,22.78,212323,212323,1.47,22.7475,0.0147,1139888420.0,17.728333333333335,18.937076806115265,18.92153846153846,20.091051312926545,22.48889141582164,-23.961218836565106,69.54569521153553,21.052732306876862,3.966778359772015,PubMatic,PUBM,1.0,0
2024-06,22.04,22.08,20.94,21.08,591408,591408,-4.36,21.535,-0.0436,1054822119.0,17.8975,19.14829575902061,19.318717948717943,20.303459455703905,22.33340731881453,-34.97229916897508,65.35697110568213,21.18757325472246,4.0294874053656,PubMatic,PUBM,1.0,0
2024-07,20.26,20.41,19.76,20.4,344949,344949,0.69102,20.2075,0.0069102,1020795599.0,18.061666666666667,19.58086564224821,19.94371794871795,20.92433251755743,22.8013141682576,-23.545706371191127,67.56831552717676,21.458902840897427,4.149730580277338,PubMatic,PUBM,1.0,0
2024-08,21.89,22.25,20.86,21.17,335929,335929,-3.29,21.5425,-0.0329,1059325630.0,18.203333333333337,18.96842477421002,19.565,19.58698524190089,20.56181813989321,-67.59002770083103,53.26999775296913,19.77106459417458,4.0326032397061935,PubMatic,PUBM,1.0,0
2024-09,15.3,15.51,14.95,14.99,509092,509092,-2.03,15.1875,-0.0203,746202200.0,18.434166666666663,18.337897885870017,19.052179487179483,18.327772453013065,18.620666066235323,-72.64542936288089,51.89493928083707,18.22387953467864,3.745705225840508,PubMatic,PUBM,1.0,0
2024-10,14.97,15.03,14.24,14.4,505800,505800,-3.81,14.66,-0.0381,716832000.0,18.755,17.842836672659246,18.54230769230769,17.41537104906348,17.310070098857167,-70.91412742382272,52.354419500306825,16.805626563474025,3.250473042497046,PubMatic,PUBM,1.0,1
