month,open,high,low,close,volume,unadjustedVolume,changePercent,vwap,changeOverTime,marketCap,sma,ema,wma,dema,tema,williams,rsi,adx,standardDeviation,company_name,ticker,employee_category_label,layoff
2022-02,137.84,138.2,134.57,137.88,51204000,51204000,0.02901915,137.1225,0.0002901915,1817260919999.0,132.48166666666663,129.16178433061754,137.3796153846154,146.17353248483087,145.55362808086227,-33.35271317829459,65.37570851315706,56.29562750212365,12.48469919096527,Google,GOOG,4.0,0
2022-03,134.48,136.11,133.38,134.17,24640000,24640000,-0.23052,134.535,-0.0023052,1769994180000.0,135.49999999999997,130.775355972061,138.48243589743592,146.53524195300136,144.9514394645662,-26.343630977570864,67.5952719471041,54.73009554289888,8.98366202243458,Google,GOOG,4.0,0
2022-04,140.01,140.95,138.8,140.7,23480020,23480020,0.49282,140.115,0.0049282,1845495200000.0,135.03833333333333,128.34376274559008,135.32397435897434,139.62154892244885,134.48886236724238,-91.45320197044336,49.60800464069295,51.06530210454318,9.843345326779016,Google,GOOG,4.0,0
2022-05,113.91,117.34,113.4,117.16,30280000,30280000,2.85,115.4525,0.0285,1535125440000.0,134.49333333333334,126.14318386165314,132.09346153846153,133.8238977248947,126.43717868204388,-76.28783323311282,49.07121755721848,47.33345921287423,10.766536376920648,Google,GOOG,4.0,0
2022-06,114.93,117.4,113.55,114.14,28630000,28630000,-0.68737,115.005,-0.0068737,1499703520000.0,133.16416666666666,123.56269403678344,128.22833333333335,127.87826822309805,118.78054161405532,-85.64842653838443,46.32527888512597,43.91260322884437,12.638734416027932,Google,GOOG,4.0,0
2022-07,108.34,109.81,107.11,109.08,31028000,31028000,0.68303,108.585,0.0068303,1413620000000.0,131.61583333333334,122.4976641849706,125.68615384615386,125.24812477570288,116.2257215256355,-71.07636800962115,50.98342446663053,40.62491649728063,13.406792096006992,Google,GOOG,4.0,0
2022-08,115.53,117.12,114.69,115.48,22856202,22856202,-0.0432788,115.705,-0.000432788,1493180000000.0,128.59,120.44417738728282,122.2298717948718,121.03392444293588,111.57128716319644,-86.08939667267987,46.45248575741318,37.28811333086141,14.024055523753937,Google,GOOG,4.0,0
2022-09,109.2,111.22,108.19,110.55,22784400,22784400,1.24,109.79,0.0124,1426620000000.0,125.49666666666668,116.70661163539316,117.23910256410258,114.04307273857756,103.2834453882476,-99.7859818084537,39.76173823542282,35.746391916861946,16.521996112926413,Google,GOOG,4.0,0
2022-10,97.22,99.97,97.02,99.3,24840028,24840028,2.14,98.3775,0.0214,1272160080000.0,121.02916666666668,113.31482522994806,112.495,108.19108843572748,97.00508245687485,-95.4152823920266,39.05832461952932,34.76373371418787,17.001198221661383,Google,GOOG,4.0,0
2022-11,95.59,96.17,90.43,90.5,43220600,43220600,-5.32,93.1725,-0.0532,1166791590000.0,117.6125,111.48946750226374,109.48282051282052,105.60946444526728,95.50446485619706,-73.78004369992716,43.984664973592544,34.65098279225617,16.464348415591793,Google,GOOG,4.0,0
2022-12,101.4,102.59,100.67,101.28,21771536,21771536,-0.11834,101.485,-0.0011834,1302468030000.0,112.95,107.98801096345392,105.03935897435898,100.04985284392556,89.75795275410839,-92.30881281864532,37.74852433823331,34.347819104623696,16.05609852984217,Google,GOOG,4.0,0
2023-01,89.83,91.55,89.02,89.7,20738500,20738500,-0.14472,90.025,-0.0014472,1139042720000.0,109.96416666666669,106.73908619984564,103.02705128205127,98.9654006833454,90.39603896375463,-76.08157319737799,45.17495679274207,34.147943349259386,14.832737136894936,Google,GOOG,4.0,1
2023-02,99.74,102.19,98.42,101.43,26392600,26392600,1.69,100.445,0.0169,1283595830000.0,106.24833333333332,104.209996015254,100.00179487179489,95.49226272971472,87.44245470087418,-88.71685060121892,40.6322306379028,32.66546200506765,13.66203488585146,Google,GOOG,4.0,0
2023-03,90.16,91.2,89.85,90.51,26323900,26323900,0.3882,90.43,0.003882,1154891160000.0,103.2775,104.17768893598416,99.65589743589744,96.77380862729952,91.07415435254212,-66.08351213071464,48.69005105839244,31.3065207728919,9.2343914480959,Google,GOOG,4.0,0
2023-04,102.67,104.95,102.38,104.91,20719900,20719900,2.18,103.7275,0.0218,1322032480000.0,102.715,104.79958294583275,100.41628205128208,99.06097915450994,95.64727489825218,-37.77945239889476,50.9281522024892,29.677349978186417,8.694848570657609,Google,GOOG,4.0,0
2023-05,107.72,108.68,107.5,107.71,20926300,20926300,-0.00928333,107.9025,-9.28333e-05,1358009600000.0,103.4925,107.6565701849354,103.59397435897436,105.21827925613373,105.12233269220272,-8.440366972477047,58.08802062389212,28.66196543006491,9.993014330854663,Google,GOOG,4.0,0
2023-06,123.5,125.04,123.3,124.37,25017700,25017700,0.70445,124.0525,0.0070445,1567284960000.0,104.45916666666668,109.7047901564838,106.2828205128205,109.37473011573104,111.07743223613848,-18.611713665943626,56.65935233460055,28.001836494614924,11.022812298693209,Google,GOOG,4.0,0
2023-07,120.32,121.02,119.71,120.56,13888300,13888300,0.19947,120.4025,0.0019947,1508461900000.0,105.83166666666668,113.30559167087092,110.69064102564104,116.07314214856152,120.13494515066606,-1.8964836033188064,61.838583758170834,27.872564349495203,13.253682402344726,Google,GOOG,4.0,0
2023-08,130.85,132.92,130.75,131.89,22219012,22219012,0.7948,131.6025,0.007948,1655030550000.0,108.18166666666669,117.00473141381386,115.5396153846154,122.47654621588838,128.20168010753247,-1.910828025477728,63.500439367922525,28.183212439996925,15.874626417301572,Google,GOOG,4.0,0
2023-09,138.43,138.58,135.94,136.8,16671647,16671647,-1.18,137.4375,-0.0118,1706738460000.0,111.15666666666668,119.28861888861172,119.18089743589744,125.85113619981144,131.61838238507775,-14.305949008498606,59.81440016960149,28.61777160176153,16.666499999166657,Google,GOOG,4.0,1
2023-10,132.16,135.36,132.07,135.17,19210400,19210400,2.28,133.69,0.0228,1675514959999.0,113.71000000000002,120.2134467519022,121.35679487179488,126.54889266877854,131.23673287649947,-28.98353979297472,55.61989660643145,27.771218736657843,16.286309178775486,Google,GOOG,4.0,1
2023-11,125.34,127.74,124.93,127.57,26536604,26536604,1.78,126.395,0.0178,1579107600000.0,116.41583333333335,122.32214725160956,124.46602564102564,129.46719421948805,134.11887528456143,-14.891744411195226,59.67925919745029,26.99521194364613,16.71627074556071,Google,GOOG,4.0,0
2023-12,133.32,133.5,132.15,133.32,24267987,24267987,0.0,133.0725,0.0,1646667680000.0,120.76583333333332,125.184893828285,128.2374358974359,133.65302682752298,138.7085989860431,-5.173004453579963,62.70556545159428,26.64688614932875,15.707146705843456,Google,GOOG,4.0,0
2024-01,139.6,140.61,137.74,139.56,20071900,20071900,-0.0286533,139.3775,-0.000286533,1715380549999.0,124.26,127.74106400854886,131.47346153846155,137.0693205450504,142.07490921071354,-20.19897497738917,63.08073468706242,27.530549456351626,15.329338428864654,Google,GOOG,4.0,1
2024-02,143.69,144.62,142.26,142.71,25526900,25526900,-0.68202,143.32,-0.0068202,1752501400000.0,128.38333333333335,129.59320800723364,133.86115384615383,139.05354692162206,143.40080703539513,-23.56717102246674,61.51335827451632,28.29717910718604,11.914380899661646,Google,GOOG,4.0,0
2024-03,139.61,140.0,137.98,138.08,28551525,28551525,-1.1,138.9175,-0.011,1702593099999.0,132.405,133.08040677535155,137.53448717948717,144.03601558362612,148.97969482087626,-5.566073457023851,67.03405478503082,27.96106352151556,11.123894327078084,Google,GOOG,4.0,0
2024-04,151.83,157.0,151.65,156.5,24469815,24469815,3.08,154.245,0.0308,1919213070000.0,137.10666666666668,137.93572880991286,142.49371794871794,151.31420875385092,157.54744368477782,-16.37931034482759,71.46376352642056,29.622849981815424,11.810324814424968,Google,GOOG,4.0,0
2024-05,166.18,168.81,164.9,165.57,25223245,25223245,-0.36707,166.365,-0.0036707,2022523980000.0,141.32250000000002,143.4779243776186,148.16346153846155,159.48772673362487,166.98850602385156,-9.341859014348069,74.29990679841812,31.359821948864106,14.804274227960878,Google,GOOG,4.0,1
2024-06,173.88,175.86,172.45,174.42,20742800,20742800,0.31056,174.1525,0.0031056,2137437309999.0,146.52666666666664,149.62285908875418,154.64,168.36917506864347,177.0314998421209,-5.692758476349955,76.8478333028939,33.37722562186054,17.471341931542888,Google,GOOG,4.0,0
2024-07,184.48,185.34,182.73,184.49,11815900,11815900,0.00542064,184.26,5.42064e-05,2258645570000.0,149.86333333333332,153.24241922894583,158.7358974358974,172.1673913305528,179.64822131879478,-28.05845511482254,68.77292561792635,34.07016658036398,18.389689744225944,Google,GOOG,4.0,0
2024-08,171.98,175.68,170.51,172.45,17177833,17177833,0.27329,172.655,0.0027329,2107690680000.0,152.17666666666665,155.0682008860311,161.08153846153846,172.6265309895399,177.8000746735078,-39.2484342379958,63.1095521352543,33.28184745234734,18.41608777370723,Google,GOOG,4.0,0
2024-09,163.32,163.38,157.85,158.61,26533110,26533110,-2.88,160.79,-0.0288,1942294480000.0,155.12166666666667,156.93309305741093,163.39128205128205,173.36812729000903,176.79526005490357,-36.35351426583159,63.94744708597207,31.453465371251472,17.743491686311977,Google,GOOG,4.0,0
2024-10,168.86,170.44,165.9,168.42,18629506,18629506,-0.26057,168.405,-0.0026057,2061157570000.0,158.39,158.10030951011694,164.8371794871795,172.9945216284512,174.5906306405233,-42.10295408014038,61.97621753917282,30.07928492940057,15.407765358199525,Google,GOOG,4.0,0
